Scenario,Region,Powertrain,Segment,Age-cohort,Values
Baseline,North America,ICEV,AB,1900.0,0.1
Baseline,North America,ICEV,AB,1901.0,0.1
Baseline,North America,ICEV,AB,1902.0,0.1
Baseline,North America,ICEV,AB,1903.0,0.1
Baseline,North America,ICEV,AB,1904.0,0.1
Baseline,North America,ICEV,AB,1905.0,0.1
Baseline,North America,ICEV,AB,1906.0,0.1
Baseline,North America,ICEV,AB,1907.0,0.1
Baseline,North America,ICEV,AB,1908.0,0.1
Baseline,North America,ICEV,AB,1909.0,0.1
Baseline,North America,ICEV,AB,1910.0,0.1
Baseline,North America,ICEV,AB,1911.0,0.1
Baseline,North America,ICEV,AB,1912.0,0.1
Baseline,North America,ICEV,AB,1913.0,0.1
Baseline,North America,ICEV,AB,1914.0,0.1
Baseline,North America,ICEV,AB,1915.0,0.1
Baseline,North America,ICEV,AB,1916.0,0.1
Baseline,North America,ICEV,AB,1917.0,0.1
Baseline,North America,ICEV,AB,1918.0,0.1
Baseline,North America,ICEV,AB,1919.0,0.1
Baseline,North America,ICEV,AB,1920.0,0.1
Baseline,North America,ICEV,AB,1921.0,0.1
Baseline,North America,ICEV,AB,1922.0,0.1
Baseline,North America,ICEV,AB,1923.0,0.1
Baseline,North America,ICEV,AB,1924.0,0.1
Baseline,North America,ICEV,AB,1925.0,0.1
Baseline,North America,ICEV,AB,1926.0,0.1
Baseline,North America,ICEV,AB,1927.0,0.1
Baseline,North America,ICEV,AB,1928.0,0.1
Baseline,North America,ICEV,AB,1929.0,0.1
Baseline,North America,ICEV,AB,1930.0,0.1
Baseline,North America,ICEV,AB,1931.0,0.1
Baseline,North America,ICEV,AB,1932.0,0.1
Baseline,North America,ICEV,AB,1933.0,0.1
Baseline,North America,ICEV,AB,1934.0,0.1
Baseline,North America,ICEV,AB,1935.0,0.1
Baseline,North America,ICEV,AB,1936.0,0.1
Baseline,North America,ICEV,AB,1937.0,0.1
Baseline,North America,ICEV,AB,1938.0,0.1
Baseline,North America,ICEV,AB,1939.0,0.1
Baseline,North America,ICEV,AB,1940.0,0.1
Baseline,North America,ICEV,AB,1941.0,0.1
Baseline,North America,ICEV,AB,1942.0,0.1
Baseline,North America,ICEV,AB,1943.0,0.1
Baseline,North America,ICEV,AB,1944.0,0.1
Baseline,North America,ICEV,AB,1945.0,0.1
Baseline,North America,ICEV,AB,1946.0,0.1
Baseline,North America,ICEV,AB,1947.0,0.1
Baseline,North America,ICEV,AB,1948.0,0.1
Baseline,North America,ICEV,AB,1949.0,0.1
Baseline,North America,ICEV,AB,1950.0,0.1
Baseline,North America,ICEV,AB,1951.0,0.1
Baseline,North America,ICEV,AB,1952.0,0.1
Baseline,North America,ICEV,AB,1953.0,0.1
Baseline,North America,ICEV,AB,1954.0,0.1
Baseline,North America,ICEV,AB,1955.0,0.1
Baseline,North America,ICEV,AB,1956.0,0.1
Baseline,North America,ICEV,AB,1957.0,0.1
Baseline,North America,ICEV,AB,1958.0,0.1
Baseline,North America,ICEV,AB,1959.0,0.1
Baseline,North America,ICEV,AB,1960.0,0.1
